NVDA
  2025-12: mean_close=44.408436, n=22
  2026-01: mean_close=47.523800, n=20
  2026-02: mean_close=53.573747, n=19
  2026-03: mean_close=58.317364, n=22
  2026-04: mean_close=57.566667, n=12

USO
  2023-04: mean_close=67.335714, n=7
  2023-05: mean_close=63.491364, n=22
  2023-06: mean_close=63.073810, n=21
  2023-07: mean_close=68.189000, n=20
  2023-08: mean_close=73.039130, n=23
  2023-09: mean_close=80.017000, n=20
  2023-10: mean_close=77.590455, n=22
  2023-11: mean_close=71.981429, n=21
  2023-12: mean_close=67.465000, n=20
  2024-01: mean_close=69.078571, n=21
  2024-02: mean_close=71.675000, n=20
  2024-03: mean_close=75.874500, n=20
  2024-04: mean_close=80.524091, n=22
  2024-05: mean_close=75.848182, n=22
  2024-06: mean_close=76.381053, n=19
  2024-07: mean_close=78.945455, n=22
  2024-08: mean_close=75.411818, n=22
  2024-09: mean_close=70.424000, n=20
  2024-10: mean_close=73.876087, n=23
  2024-11: mean_close=72.384000, n=20
  2024-12: mean_close=72.890476, n=21
  2025-01: mean_close=79.632500, n=20
  2025-02: mean_close=76.257895, n=19
  2025-03: mean_close=73.231905, n=21
  2025-04: mean_close=68.153158, n=19
  2025-05: mean_close=66.772857, n=21
  2025-06: mean_close=74.232222, n=18
  2025-07: mean_close=76.394545, n=22
  2025-08: mean_close=74.150952, n=21
  2025-09: mean_close=74.579524, n=21
  2025-10: mean_close=71.118696, n=23
  2025-11: mean_close=70.956316, n=19
  2025-12: mean_close=69.484545, n=22
  2026-01: mean_close=72.635500, n=20
  2026-02: mean_close=78.535789, n=19
  2026-03: mean_close=111.799474, n=19
  2026-04: mean_close=128.182222, n=9

GLD
  2023-04: mean_close=185.027143, n=7
  2023-05: mean_close=185.170909, n=22
  2023-06: mean_close=180.219048, n=21
  2023-07: mean_close=181.067000, n=20
  2023-08: mean_close=178.028696, n=23
  2023-09: mean_close=177.428000, n=20
  2023-10: mean_close=177.750000, n=22
  2023-11: mean_close=184.041905, n=21
  2023-12: mean_close=188.541000, n=20
  2024-01: mean_close=188.073333, n=21
  2024-02: mean_close=187.630500, n=20
  2024-03: mean_close=200.264500, n=20
  2024-04: mean_close=216.069545, n=22
  2024-05: mean_close=217.464545, n=22
  2024-06: mean_close=215.170526, n=19
  2024-07: mean_close=221.541364, n=22
  2024-08: mean_close=228.396818, n=22
  2024-09: mean_close=237.880500, n=20
  2024-10: mean_close=248.619565, n=23
  2024-11: mean_close=244.770000, n=20
  2024-12: mean_close=243.511429, n=21
  2025-01: mean_close=250.425500, n=20
  2025-02: mean_close=267.119474, n=19
  2025-03: mean_close=275.387143, n=21
  2025-04: mean_close=296.956667, n=21
  2025-05: mean_close=302.891429, n=21
  2025-06: mean_close=308.875500, n=20
  2025-07: mean_close=307.725909, n=22
  2025-08: mean_close=310.225238, n=21
  2025-09: mean_close=338.586190, n=21
  2025-10: mean_close=373.047273, n=22
  2025-11: mean_close=375.601053, n=19
  2025-12: mean_close=396.300000, n=21
  2026-01: mean_close=433.175000, n=18
  2026-02: mean_close=463.975294, n=17
  2026-03: mean_close=448.296842, n=19
  2026-04: mean_close=436.931667, n=12

TLT
  2023-04: mean_close=94.403086, n=7
  2023-05: mean_close=92.097752, n=21
  2023-06: mean_close=91.905990, n=21
  2023-07: mean_close=90.546000, n=20
  2023-08: mean_close=85.331930, n=23
  2023-09: mean_close=82.464400, n=20
  2023-10: mean_close=75.762352, n=21
  2023-11: mean_close=80.054843, n=21
  2023-12: mean_close=88.371430, n=20
  2024-01: mean_close=87.028629, n=21
  2024-02: mean_close=85.562300, n=20
  2024-03: mean_close=86.244500, n=20
  2024-04: mean_close=82.266264, n=22
  2024-05: mean_close=83.185427, n=22
  2024-06: mean_close=86.080474, n=19
  2024-07: mean_close=86.043918, n=22
  2024-08: mean_close=90.876424, n=21
  2024-09: mean_close=93.235200, n=20
  2024-10: mean_close=88.185717, n=23
  2024-11: mean_close=85.831500, n=20
  2024-12: mean_close=85.505238, n=21
  2025-01: mean_close=82.210000, n=20
  2025-02: mean_close=84.923774, n=19
  2025-03: mean_close=86.267433, n=21
  2025-04: mean_close=84.858200, n=20
  2025-05: mean_close=82.646348, n=21
  2025-06: mean_close=83.221400, n=20
  2025-07: mean_close=83.362018, n=22
  2025-08: mean_close=84.516952, n=21
  2025-09: mean_close=86.757810, n=21
  2025-10: mean_close=88.643196, n=23
  2025-11: mean_close=87.975916, n=19
  2025-12: mean_close=86.788900, n=22
  2026-01: mean_close=86.665200, n=20
  2026-02: mean_close=88.144074, n=19
  2026-03: mean_close=87.063836, n=22
  2026-04: mean_close=86.715833, n=12

SPY
  2023-04: mean_close=389.513486, n=7
  2023-05: mean_close=392.610109, n=22
  2023-06: mean_close=413.194152, n=21
  2023-07: mean_close=429.820100, n=20
  2023-08: mean_close=425.285861, n=23
  2023-09: mean_close=421.170860, n=20
  2023-10: mean_close=407.608073, n=22
  2023-11: mean_close=427.202229, n=21
  2023-12: mean_close=450.358300, n=20
  2024-01: mean_close=462.667752, n=21
  2024-02: mean_close=483.828300, n=20
  2024-03: mean_close=500.389300, n=20
  2024-04: mean_close=495.029073, n=22
  2024-05: mean_close=507.872255, n=22
  2024-06: mean_close=526.507274, n=19
  2024-07: mean_close=539.228982, n=22
  2024-08: mean_close=535.151752, n=21
  2024-09: mean_close=548.761725, n=20
  2024-10: mean_close=566.343691, n=23
  2024-11: mean_close=580.557800, n=20
  2024-12: mean_close=590.050260, n=20
  2025-01: mean_close=586.717400, n=20
  2025-02: mean_close=593.225584, n=19
  2025-03: mean_close=558.484686, n=21
  2025-04: mean_close=529.245635, n=17
  2025-05: mean_close=572.030400, n=20
  2025-06: mean_close=594.853785, n=20
  2025-07: mean_close=621.963500, n=22
  2025-08: mean_close=633.677071, n=21
